'Elapsed time','MLII','V1'
'seconds','mV','mV'
0.000,-0.460,0.130
0.003,-0.460,0.130
0.006,-0.460,0.130
0.008,-0.460,0.130
0.011,-0.460,0.130
0.014,-0.460,0.130
0.017,-0.460,0.130
0.019,-0.460,0.130
0.022,-0.455,0.130
0.025,-0.455,0.140
0.028,-0.440,0.140
0.031,-0.435,0.145
0.033,-0.430,0.125
0.036,-0.445,0.120
0.039,-0.440,0.115
0.042,-0.435,0.130
0.044,-0.425,0.140
0.047,-0.415,0.145
0.050,-0.430,0.140
0.053,-0.435,0.125
0.056,-0.470,0.120
0.058,-0.455,0.130
0.061,-0.415,0.135
0.064,-0.425,0.130
0.067,-0.440,0.115
0.069,-0.445,0.110
0.072,-0.435,0.110
0.075,-0.435,0.140
0.078,-0.425,0.150
0.081,-0.420,0.140
0.083,-0.430,0.125
0.086,-0.440,0.125
0.089,-0.460,0.125
0.092,-0.435,0.125
0.094,-0.435,0.145
0.097,-0.415,0.140
0.100,-0.425,0.135
0.103,-0.435,0.120
0.106,-0.435,0.120
0.108,-0.435,0.130
0.111,-0.415,0.140
0.114,-0.410,0.140
0.117,-0.430,0.110
0.119,-0.435,0.110
0.122,-0.450,0.110
0.125,-0.430,0.115
0.128,-0.405,0.120
0.131,-0.410,0.125
0.133,-0.415,0.120
0.136,-0.425,0.105
0.139,-0.440,0.110
0.142,-0.430,0.115
0.144,-0.415,0.130
0.147,-0.415,0.125
0.150,-0.415,0.115
0.153,-0.435,0.100
0.156,-0.435,0.105
0.158,-0.430,0.115
0.161,-0.415,0.135
0.164,-0.405,0.125
0.167,-0.410,0.110
0.169,-0.440,0.110
0.172,-0.440,0.105
0.175,-0.425,0.115
0.178,-0.410,0.125
0.181,-0.410,0.125
0.183,-0.415,0.110
0.186,-0.425,0.085
0.189,-0.435,0.095
0.192,-0.430,0.105
0.194,-0.420,0.125
0.197,-0.400,0.120
0.200,-0.410,0.110
0.203,-0.425,0.090
0.206,-0.430,0.100
0.208,-0.430,0.110
0.211,-0.410,0.125
0.214,-0.405,0.110
0.217,-0.405,0.105
0.219,-0.415,0.100
0.222,-0.430,0.095
0.225,-0.435,0.110
0.228,-0.425,0.135
0.231,-0.395,0.125
0.233,-0.400,0.105
0.236,-0.405,0.100
0.239,-0.415,0.105
0.242,-0.410,0.115
0.244,-0.405,0.120
0.247,-0.395,0.130
0.250,-0.405,0.100
0.253,-0.415,0.100
0.256,-0.415,0.095
0.258,-0.415,0.110
0.261,-0.395,0.125
0.264,-0.395,0.115
0.267,-0.390,0.100
0.269,-0.400,0.095
0.272,-0.405,0.100
0.275,-0.400,0.110
0.278,-0.400,0.130
0.281,-0.385,0.130
0.283,-0.385,0.120
0.286,-0.405,0.115
0.289,-0.400,0.115
0.292,-0.385,0.135
0.294,-0.370,0.150
0.297,-0.345,0.160
0.300,-0.355,0.135
0.303,-0.355,0.130
0.306,-0.355,0.125
0.308,-0.340,0.145
0.311,-0.320,0.145
0.314,-0.295,0.140
0.317,-0.305,0.115
0.319,-0.320,0.085
0.322,-0.320,0.085
0.325,-0.310,0.095
0.328,-0.280,0.095
0.331,-0.275,0.080
0.333,-0.285,0.075
0.336,-0.300,0.070
0.339,-0.305,0.075
0.342,-0.305,0.090
0.344,-0.290,0.095
0.347,-0.275,0.100
0.350,-0.285,0.090
0.353,-0.305,0.075
0.356,-0.325,0.090
0.358,-0.320,0.105
0.361,-0.335,0.105
0.364,-0.335,0.095
0.367,-0.360,0.080
0.369,-0.365,0.070
0.372,-0.365,0.070
0.375,-0.360,0.090
0.378,-0.350,0.105
0.381,-0.355,0.090
0.383,-0.370,0.085
0.386,-0.355,0.075
0.389,-0.370,0.080
0.392,-0.355,0.100
0.394,-0.355,0.115
0.397,-0.355,0.110
