'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',0.350,0.105
'0:00.003',0.350,0.105
'0:00.006',0.350,0.105
'0:00.008',0.350,0.105
'0:00.011',0.350,0.105
'0:00.014',0.350,0.105
'0:00.017',0.350,0.105
'0:00.019',0.350,0.105
'0:00.022',0.350,0.105
'0:00.025',0.020,0.115
'0:00.028',-0.210,0.090
'0:00.031',-0.330,0.075
'0:00.033',-0.370,0.095
'0:00.036',-0.335,0.115
'0:00.039',-0.285,0.090
'0:00.042',-0.230,0.085
'0:00.044',-0.215,0.090
'0:00.047',-0.200,0.085
'0:00.050',-0.190,0.070
'0:00.053',-0.200,0.075
'0:00.056',-0.200,0.090
'0:00.058',-0.210,0.095
'0:00.061',-0.230,0.070
'0:00.064',-0.250,0.030
'0:00.067',-0.255,0.040
'0:00.069',-0.245,0.070
'0:00.072',-0.240,0.065
'0:00.075',-0.215,0.040
'0:00.078',-0.235,0.040
'0:00.081',-0.230,0.045
'0:00.083',-0.230,0.040
'0:00.086',-0.205,0.015
'0:00.089',-0.180,0.040
'0:00.092',-0.165,0.050
'0:00.094',-0.195,0.060
'0:00.097',-0.210,0.040
'0:00.100',-0.215,0.030
'0:00.103',-0.195,0.060
'0:00.106',-0.170,0.085
'0:00.108',-0.155,0.070
'0:00.111',-0.175,0.045
'0:00.114',-0.195,0.050
'0:00.117',-0.210,0.065
'0:00.119',-0.200,0.090
'0:00.122',-0.200,0.080
'0:00.125',-0.195,0.075
'0:00.128',-0.185,0.075
'0:00.131',-0.185,0.050
'0:00.133',-0.180,0.045
'0:00.136',-0.175,0.065
'0:00.139',-0.175,0.070
'0:00.142',-0.165,0.085
'0:00.144',-0.140,0.075
'0:00.147',-0.120,0.045
'0:00.150',-0.115,0.060
'0:00.153',-0.130,0.075
'0:00.156',-0.155,0.060
'0:00.158',-0.190,0.035
'0:00.161',-0.190,0.040
'0:00.164',-0.185,0.055
'0:00.167',-0.180,0.070
'0:00.169',-0.160,0.060
'0:00.172',-0.140,0.070
'0:00.175',-0.130,0.070
'0:00.178',-0.110,0.070
'0:00.181',-0.120,0.055
'0:00.183',-0.130,0.040
'0:00.186',-0.130,0.050
'0:00.189',-0.125,0.080
'0:00.192',-0.095,0.085
'0:00.194',-0.095,0.060
'0:00.197',-0.090,0.050
'0:00.200',-0.080,0.065
'0:00.203',-0.075,0.080
'0:00.206',-0.070,0.070
'0:00.208',-0.075,0.050
'0:00.211',-0.065,0.065
'0:00.214',-0.055,0.060
'0:00.217',-0.060,0.075
'0:00.219',-0.055,0.055
'0:00.222',-0.040,0.060
'0:00.225',-0.030,0.080
'0:00.228',-0.020,0.065
'0:00.231',-0.015,0.050
'0:00.233',-0.015,0.040
'0:00.236',-0.010,0.065
'0:00.239',0.015,0.095
'0:00.242',0.035,0.075
'0:00.244',0.025,0.050
'0:00.247',0.015,0.065
'0:00.250',0.015,0.070
'0:00.253',0.025,0.060
'0:00.256',0.025,0.055
'0:00.258',0.040,0.050
'0:00.261',0.040,0.070
'0:00.264',0.030,0.065
'0:00.267',0.015,0.065
'0:00.269',0.020,0.070
'0:00.272',0.035,0.085
'0:00.275',0.045,0.090
'0:00.278',0.050,0.060
'0:00.281',0.025,0.035
'0:00.283',0.020,0.055
'0:00.286',0.020,0.085
'0:00.289',0.010,0.095
'0:00.292',0.010,0.080
'0:00.294',0.000,0.080
'0:00.297',-0.005,0.075
'0:00.300',-0.025,0.075
'0:00.303',-0.020,0.070
'0:00.306',-0.030,0.070
'0:00.308',-0.030,0.085
'0:00.311',-0.035,0.075
'0:00.314',-0.045,0.060
'0:00.317',-0.055,0.055
'0:00.319',-0.060,0.085
'0:00.322',-0.065,0.105
'0:00.325',-0.075,0.085
'0:00.328',-0.080,0.060
'0:00.331',-0.075,0.045
'0:00.333',-0.075,0.060
'0:00.336',-0.075,0.085
'0:00.339',-0.070,0.090
'0:00.342',-0.075,0.075
'0:00.344',-0.080,0.085
'0:00.347',-0.090,0.090
'0:00.350',-0.100,0.095
'0:00.353',-0.095,0.080
'0:00.356',-0.095,0.075
'0:00.358',-0.085,0.080
'0:00.361',-0.095,0.095
'0:00.364',-0.100,0.080
'0:00.367',-0.100,0.085
'0:00.369',-0.115,0.085
'0:00.372',-0.115,0.095
'0:00.375',-0.130,0.090
'0:00.378',-0.140,0.060
'0:00.381',-0.150,0.050
'0:00.383',-0.160,0.085
'0:00.386',-0.145,0.100
'0:00.389',-0.155,0.095
'0:00.392',-0.160,0.080
'0:00.394',-0.170,0.090
'0:00.397',-0.185,0.085
'0:00.400',-0.175,0.085
'0:00.403',-0.170,0.080
'0:00.406',-0.165,0.075
'0:00.408',-0.170,0.090
'0:00.411',-0.170,0.105
'0:00.414',-0.165,0.070
'0:00.417',-0.180,0.075
'0:00.419',-0.180,0.080
'0:00.422',-0.200,0.105
'0:00.425',-0.200,0.095
'0:00.428',-0.215,0.075
'0:00.431',-0.205,0.045
'0:00.433',-0.210,0.065
'0:00.436',-0.205,0.100
'0:00.439',-0.210,0.090
'0:00.442',-0.220,0.075
'0:00.444',-0.225,0.080
'0:00.447',-0.225,0.080
'0:00.450',-0.240,0.075
'0:00.453',-0.225,0.060
'0:00.456',-0.210,0.055
'0:00.458',-0.205,0.085
'0:00.461',-0.195,0.095
'0:00.464',-0.190,0.070
'0:00.467',-0.200,0.065
'0:00.469',-0.190,0.090
'0:00.472',-0.190,0.105
'0:00.475',-0.185,0.115
'0:00.478',-0.170,0.075
'0:00.481',-0.170,0.070
'0:00.483',-0.175,0.090
'0:00.486',-0.165,0.110
'0:00.489',-0.165,0.105
'0:00.492',-0.185,0.090
'0:00.494',-0.185,0.085
'0:00.497',-0.205,0.090
'0:00.500',-0.205,0.085
'0:00.503',-0.210,0.080
'0:00.506',-0.195,0.060
'0:00.508',-0.195,0.090
'0:00.511',-0.190,0.090
'0:00.514',-0.195,0.060
'0:00.517',-0.195,0.065
'0:00.519',-0.195,0.065
'0:00.522',-0.185,0.090
'0:00.525',-0.175,0.085
'0:00.528',-0.175,0.045
'0:00.531',-0.200,0.025
'0:00.533',-0.225,0.040
'0:00.536',-0.250,0.070
'0:00.539',-0.240,0.055
'0:00.542',-0.240,0.030
'0:00.544',-0.240,0.020
'0:00.547',-0.250,0.020
'0:00.550',-0.260,0.030
'0:00.553',-0.270,0.015
'0:00.556',-0.280,-0.015
'0:00.558',-0.305,0.000
'0:00.561',-0.335,0.015
'0:00.564',-0.350,0.000
'0:00.567',-0.340,-0.025
'0:00.569',-0.285,-0.030
'0:00.572',-0.205,-0.020
'0:00.575',-0.135,-0.020
'0:00.578',-0.095,-0.055
'0:00.581',-0.045,-0.080
'0:00.583',0.010,-0.070
'0:00.586',0.075,-0.040
'0:00.589',0.140,-0.055
'0:00.592',0.175,-0.065
'0:00.594',0.135,-0.095
'0:00.597',0.045,-0.080
'0:00.600',-0.155,-0.065
'0:00.603',-0.425,-0.070
'0:00.606',-0.710,-0.085
'0:00.608',-0.915,-0.065
'0:00.611',-1.090,-0.050
'0:00.614',-1.255,-0.060
'0:00.617',-1.395,-0.080
'0:00.619',-1.465,-0.080
'0:00.622',-1.505,-0.030
'0:00.625',-1.490,-0.020
'0:00.628',-1.450,-0.025
'0:00.631',-1.390,-0.050
'0:00.633',-1.340,-0.005
'0:00.636',-1.270,0.030
'0:00.639',-1.155,0.045
'0:00.642',-1.025,0.045
'0:00.644',-0.950,0.025
'0:00.647',-0.930,0.030
'0:00.650',-0.930,0.050
'0:00.653',-0.910,0.040
'0:00.656',-0.885,0.030
'0:00.658',-0.865,0.015
'0:00.661',-0.840,0.040
'0:00.664',-0.800,0.040
'0:00.667',-0.755,0.025
'0:00.669',-0.715,0.020
'0:00.672',-0.660,0.035
'0:00.675',-0.630,0.055
'0:00.678',-0.580,0.040
'0:00.681',-0.540,0.010
'0:00.683',-0.510,0.015
'0:00.686',-0.465,0.040
'0:00.689',-0.435,0.070
'0:00.692',-0.395,0.070
'0:00.694',-0.365,0.045
'0:00.697',-0.315,0.055
'0:00.700',-0.265,0.080
'0:00.703',-0.200,0.090
'0:00.706',-0.155,0.090
'0:00.708',-0.090,0.080
'0:00.711',-0.040,0.090
'0:00.714',-0.015,0.100
'0:00.717',-0.010,0.105
'0:00.719',0.005,0.100
'0:00.722',0.030,0.100
'0:00.725',0.055,0.130
'0:00.728',0.080,0.130
'0:00.731',0.085,0.095
'0:00.733',0.090,0.090
'0:00.736',0.110,0.090
'0:00.739',0.110,0.135
'0:00.742',0.130,0.140
'0:00.744',0.150,0.115
'0:00.747',0.155,0.100
'0:00.750',0.150,0.115
'0:00.753',0.180,0.150
'0:00.756',0.185,0.135
'0:00.758',0.205,0.115
'0:00.761',0.220,0.110
'0:00.764',0.235,0.125
'0:00.767',0.235,0.150
'0:00.769',0.255,0.135
'0:00.772',0.270,0.125
'0:00.775',0.290,0.150
'0:00.778',0.290,0.140
'0:00.781',0.300,0.125
'0:00.783',0.300,0.105
'0:00.786',0.305,0.115
'0:00.789',0.325,0.155
'0:00.792',0.315,0.165
'0:00.794',0.310,0.130
'0:00.797',0.315,0.120
'0:00.800',0.315,0.145
'0:00.803',0.345,0.160
'0:00.806',0.360,0.155
'0:00.808',0.370,0.125
'0:00.811',0.375,0.125
'0:00.814',0.375,0.130
'0:00.817',0.365,0.155
'0:00.819',0.375,0.140
'0:00.822',0.385,0.130
'0:00.825',0.410,0.145
'0:00.828',0.405,0.140
'0:00.831',0.400,0.125
'0:00.833',0.400,0.100
'0:00.836',0.405,0.130
'0:00.839',0.400,0.160
'0:00.842',0.410,0.150
'0:00.844',0.395,0.130
'0:00.847',0.400,0.105
'0:00.850',0.385,0.140
'0:00.853',0.390,0.150
'0:00.856',0.395,0.140
'0:00.858',0.385,0.120
'0:00.861',0.380,0.135
'0:00.864',0.355,0.125
'0:00.867',0.355,0.130
'0:00.869',0.355,0.110
'0:00.872',0.350,0.125
'0:00.875',0.325,0.140
'0:00.878',0.300,0.120
'0:00.881',0.280,0.090
'0:00.883',0.250,0.100
'0:00.886',0.250,0.110
'0:00.889',0.250,0.135
'0:00.892',0.250,0.130
'0:00.894',0.235,0.100
'0:00.897',0.210,0.095
'0:00.900',0.175,0.115
'0:00.903',0.165,0.130
'0:00.906',0.160,0.115
'0:00.908',0.145,0.095
'0:00.911',0.140,0.105
'0:00.914',0.145,0.120
'0:00.917',0.130,0.110
'0:00.919',0.100,0.100
'0:00.922',0.080,0.110
'0:00.925',0.040,0.125
'0:00.928',0.015,0.120
'0:00.931',-0.010,0.085
'0:00.933',-0.025,0.080
'0:00.936',-0.025,0.105
'0:00.939',-0.030,0.125
'0:00.942',-0.040,0.100
'0:00.944',-0.045,0.085
'0:00.947',-0.070,0.100
'0:00.950',-0.105,0.105
'0:00.953',-0.080,0.100
'0:00.956',-0.075,0.090
'0:00.958',-0.085,0.090
'0:00.961',-0.090,0.115
'0:00.964',-0.110,0.100
'0:00.967',-0.130,0.085
'0:00.969',-0.120,0.105
'0:00.972',-0.115,0.120
'0:00.975',-0.125,0.115
'0:00.978',-0.150,0.090
'0:00.981',-0.170,0.075
'0:00.983',-0.160,0.095
'0:00.986',-0.160,0.105
'0:00.989',-0.150,0.100
'0:00.992',-0.155,0.090
'0:00.994',-0.160,0.095
'0:00.997',-0.170,0.090
'0:01.000',-0.185,0.080
'0:01.003',-0.180,0.070
'0:01.006',-0.180,0.100
'0:01.008',-0.190,0.100
'0:01.011',-0.180,0.110
'0:01.014',-0.170,0.060
'0:01.017',-0.160,0.075
'0:01.019',-0.140,0.105
'0:01.022',-0.140,0.115
'0:01.025',-0.145,0.080
'0:01.028',-0.170,0.070
'0:01.031',-0.180,0.075
'0:01.033',-0.175,0.100
'0:01.036',-0.160,0.095
'0:01.039',-0.155,0.090
'0:01.042',-0.155,0.100
'0:01.044',-0.165,0.120
'0:01.047',-0.150,0.095
'0:01.050',-0.155,0.065
'0:01.053',-0.150,0.090
'0:01.056',-0.145,0.115
'0:01.058',-0.145,0.105
'0:01.061',-0.165,0.090
'0:01.064',-0.195,0.075
'0:01.067',-0.205,0.100
'0:01.069',-0.190,0.105
'0:01.072',-0.180,0.090
'0:01.075',-0.165,0.075
'0:01.078',-0.170,0.100
'0:01.081',-0.160,0.090
'0:01.083',-0.170,0.080
'0:01.086',-0.165,0.085
'0:01.089',-0.170,0.100
'0:01.092',-0.170,0.110
'0:01.094',-0.170,0.075
'0:01.097',-0.170,0.035
'0:01.100',-0.185,0.070
'0:01.103',-0.190,0.095
'0:01.106',-0.180,0.095
'0:01.108',-0.180,0.070
'0:01.111',-0.180,0.090
'0:01.114',-0.175,0.080
'0:01.117',-0.200,0.070
'0:01.119',-0.210,0.055
'0:01.122',-0.200,0.075
'0:01.125',-0.200,0.105
'0:01.128',-0.210,0.080
'0:01.131',-0.215,0.055
'0:01.133',-0.210,0.060
'0:01.136',-0.200,0.090
'0:01.139',-0.175,0.075
'0:01.142',-0.160,0.060
'0:01.144',-0.145,0.050
'0:01.147',-0.145,0.070
'0:01.150',-0.135,0.085
'0:01.153',-0.140,0.075
'0:01.156',-0.135,0.060
'0:01.158',-0.130,0.080
'0:01.161',-0.120,0.095
'0:01.164',-0.115,0.070
'0:01.167',-0.110,0.060
'0:01.169',-0.105,0.075
'0:01.172',-0.100,0.105
'0:01.175',-0.095,0.105
'0:01.178',-0.110,0.065
'0:01.181',-0.140,0.070
'0:01.183',-0.175,0.095
'0:01.186',-0.180,0.105
'0:01.189',-0.180,0.090
'0:01.192',-0.180,0.075
'0:01.194',-0.165,0.095
'0:01.197',-0.175,0.090
'0:01.200',-0.175,0.070
'0:01.203',-0.175,0.070
'0:01.206',-0.165,0.090
'0:01.208',-0.165,0.110
'0:01.211',-0.165,0.080
'0:01.214',-0.175,0.030
'0:01.217',-0.165,0.060
'0:01.219',-0.160,0.085
'0:01.222',-0.155,0.090
'0:01.225',-0.150,0.070
'0:01.228',-0.155,0.075
'0:01.231',-0.160,0.080
'0:01.233',-0.160,0.080
'0:01.236',-0.155,0.060
